#RECEIVE_AGENT_ID	RECEIVE_CODE	BILLER_NAME	POE_SVC_MSG_EN_TEXT	POE_SVC_MSG_ES_TEXT	ALL_KEYWORDS
66880109	9098	EMC MORTGAGE - NEXT DAY	Next Day	Dia Siguiente	
68421184	14274	E WENATCHEE WTR DIS-NXTDY	Next Day	Dia Siguiente	EAST WENATCHEE WATER DIST
41948273	2711	PRIME ACCEPTANCE CORP	Same Day	Mismo Dia	
65826261	7442	THE FINANCIAL LAW GROUP	Same Day	Mismo Dia	
66357409	7647	SMART PREPAID ELECTRIC			
65210563	6922	OLD ACURA FINANCIAL USE RC 6917	Same Day	Mismo Dia	
43477920	3967	DM BROADBAND	Same Day	Mismo Dia	
40878797	2065	TRUGROCER FEDERAL CREDIT UNION	Same Day	Mismo Dia	
45065194	6059	F.C.A	Same Day	Mismo Dia	
67633504	11810	PUEBLO DELSOL WATER-NXTDY	Next Day	Dia Siguiente	
45145865	6145	FAST AND RELIABLE CASH ADVANCE LLC	Same Day	Mismo Dia	
41697346	2617	GROW FINANCIAL FCU	Same Day	Mismo Dia	
68007155	13272	ADP BENEFIT SERV KY-NXTDY	Next Day	Dia Siguiente	ADP BENEFIT SERVICES KY I
68008154	13371	TX HLTH INS PL PREM-NXTDY	Next Day	Dia Siguiente	TEXAS HEALTH INS POOL PRE
44610236	5613	GARCIA HDEZ LLC	Same Day	Mismo Dia	
67652763	12040	CAVE CREEK AZ ELEC-NEXTDY	Next Day	Dia Siguiente	TOWN OF CAVE CREEK AZ;CAVE CREEK AZ;CAVE CREEK ELECTRIC AZ
42352321	2930	MOUNTAIN AMERICA CU	Same Day	Mismo Dia	
66569912	7848	WASTE MANAGEMENT ??? NEXT DAY	Next Day	Dia Siguiente	
65011571	6614	BMW FINANCIAL AUTO NXTDAY	Next Day	Dia Siguiente	
67296488	10022	HUNTERS GLEN MUD NEXT DAY	Next Day	Dia Siguiente	HUNTERS GLEN MUD
40597489	1701	BANAMEX USA	Same Day	Mismo Dia	
66575032	7858	DISCOVER CARD	Same Day	Mismo Dia	DIS COVER CARD;DISCOVER CREDIT;DISCOVER;DISCOVER CREDIT CARD;DIS COVER
66939128	9229	AUTO CREDIT OF ORLANDO	Same Day	Mismo Dia	
67674783	12088	GARBARINO DISPOSAL-NXTDY	Next Day	Dia Siguiente	GARBARINO DISPOSAL & RECY;GARBARINO DISPOSAL & RECY
68476061	14357	MOLINA HEALTHCARE OF TX	Same Day	Mismo Dia	
40951562	2118	CALLNET COMMUNICATIONS	Same Day	Mismo Dia	
64936945	6590	GREENLIGHT DSL	Same Day	Mismo Dia	
66587774	7914	WEST ALLIS WI PERSPROPTAX	Same Day	Mismo Dia	CITY OF WEST ALLIS;PERSONAL PROPERTY TAX;W ALLIS WI;WI;CITY OF W ALLIS;WISCONSIN;WEST ALLIS;WEST ALLIS WISCONSIN;PERSONAL PROPERTY;PERSONAL;WEST ALLIS WI
